Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,5.550000,5.600000,5.533330,5.583330,0.000079,985500
1996-01-02,5.466670,5.566670,5.288890,5.372220,0.000076,7470000
1996-01-03,5.133330,5.254440,5.101110,5.200000,0.000074,15160500
1996-01-04,5.200000,5.332220,5.144440,5.297780,0.000075,12397500
1996-01-05,5.297780,5.277780,5.188890,5.202220,0.000074,5008500
1996-01-08,5.202220,5.238890,5.011110,5.042220,0.000071,12645000
1996-01-09,5.042220,5.108890,4.983330,5.028890,0.000071,8968500
1996-01-10,5.028890,5.111110,4.977780,5.012220,0.000071,2988000
1996-01-11,5.012220,5.043330,4.988890,5.038890,0.000071,2227500
1996-01-12,5.038890,5.133330,5.022220,5.088890,0.000072,4806000
1996-01-15,5.088890,5.111110,5.027780,5.034440,0.000071,2020500
1996-01-16,5.034440,5.067780,5.000000,5.018890,0.000071,3082500
1996-01-17,5.018890,5.044440,5.002220,5.017780,0.000071,3078000
1996-01-18,5.017780,4.997780,4.888890,4.955560,0.000070,5148000
1996-01-19,4.955560,4.966670,4.627780,4.741110,0.000067,16128000
1996-01-22,4.741110,4.775560,4.645560,4.707780,0.000067,3946500
1996-01-23,4.707780,4.747780,4.377780,4.416670,0.000063,7947000
1996-01-24,4.416670,4.477780,4.150000,4.225560,0.000060,15763500
1996-01-25,4.225560,4.222220,4.144440,4.182220,0.000059,8140500
1996-01-26,null,null,null,null,null,null
1996-01-29,4.182220,4.505560,4.167780,4.416670,0.000063,9639000
1996-01-30,4.416670,4.821110,4.440000,4.692220,0.000066,15669000
1996-01-31,4.692220,4.650000,4.460000,4.516670,0.000064,9598500
1996-02-01,4.516670,4.866670,4.522220,4.797780,0.000068,12573000
1996-02-02,4.887780,5.444440,4.844440,5.347780,0.000076,28179000
1996-02-05,5.347780,5.888890,5.355560,5.621110,0.000080,18873000
1996-02-06,5.733330,5.776670,5.412220,5.567780,0.000079,14112000
1996-02-07,5.488890,5.600000,5.335560,5.485560,0.000078,13968000
1996-02-08,5.555560,6.062220,5.488890,6.062220,0.000086,21955500
1996-02-09,6.062220,6.396670,6.068890,6.262220,0.000089,12181500
1996-02-12,6.344440,6.344440,6.000000,6.065560,0.000086,14436000
1996-02-13,6.065560,6.288890,6.000000,6.210000,0.000088,11718000
1996-02-14,6.311110,6.588890,6.311110,6.403330,0.000091,9598500
1996-02-15,6.403330,6.644440,6.333330,6.466670,0.000092,16924500
1996-02-16,6.311110,6.488890,6.155560,6.274440,0.000089,12861000
1996-02-19,6.275560,6.388890,6.266670,6.272220,0.000089,5913000
